"NUMEROPT","CARACTERISTICA"
"3675/2020","Chama Aberta"
"3694/2020","Risco de Perda de Produção"
"3715/2020","Andaime - Pré-Montagem/Desmontagem"
"3739/2020","Espaço Confinado"
"3745/2020","Tratamento manual e pintura"
"3758/2020","Pressurizado"
"3770/2020","Chama Aberta"
"3787/2020","Andaime - Pré-Montagem/Desmontagem"
"3788/2020","Pressurizado"
"3795/2020","Chama Aberta"
"3800/2020","Uso de Marreta"
"3815/2020","Andaime - Pré-Montagem/Desmontagem"
"3816/2020","Pressurizado"
"3818/2020","Andaime - Pós-Montagem/Utilização"
"3827/2020","Elétrico"
"3854/2020","Chama Aberta"
"3861/2020","Pressurizado"
"3881/2020","Elétrico"
"3889/2020","Elétrico"
"3890/2020","Risco de Perda de Produção"
"3920/2020","Elétrico"
"3923/2020","Espaço Confinado"
"3941/2020","Chama Aberta"
"3942/2020","Tratamento Mecânico e Pintura"
"3946/2020","Pressurizado"
"3948/2020","Pressurizado"
"3956/2020","Andaime - Pré-Montagem/Desmontagem"
"3960/2020","Elétrico"
"3964/2020","Inibição em funções de Controle e Segurança"
"3966/2020","Intervenção Automação - PLC"
"3976/2020","Altura - Acesso por Cordas"
"3988/2020","Tratamento manual e pintura"
"4002/2020","Pressurizado"
"4006/2020","Chama Aberta"
"4006/2020","Altura - Acesso por Cordas"
"4006/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"4008/2020","Andaime - Pós-Montagem/Utilização"
"4011/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"4037/2020","Pressurizado"
"4039/2020","Tratamento Mecânico e Pintura"
"4039/2020","Andaime - Pós-Montagem/Utilização"
"4041/2020","Pressurizado"
"4051/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"4062/2020","Risco de Perda de Produção"
"4065/2020","Pressurizado"
"4074/2020","Pressurizado"
"4076/2020","Pressurizado"
"4080/2020","Risco de Perda de Produção"
"4089/2020","Elétrico"
"4099/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"4109/2020","Andaime - Pré-Montagem/Desmontagem"
"4114/2020","Espaço Confinado"
"4114/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"4128/2020","Serviço Crítico"
"4128/2020","Chama Aberta"
"4149/2020","Serviço Crítico"
"4150/2020","Elétrico"
"4153/2020","Sobre o Mar"
"4159/2020","Andaime - Pós-Montagem/Utilização"
"4174/2020","Altura - Acesso por Cordas"
"4175/2020","Andaime - Pós-Montagem/Utilização"
"4179/2020","Andaime - Pré-Montagem/Desmontagem"
"4187/2020","Serviço Crítico"
"4219/2020","Andaime - Pré-Montagem/Desmontagem"
"4238/2020","Intervenção Automação - PLC"
"4244/2020","Pressurizado"
"4245/2020","Elétrico"
"4246/2020","Pressurizado"
"4248/2020","Hidrojateamento"
"4248/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"4268/2020","Pressurizado"
"4279/2020","Elétrico"
"4290/2020","Chama Aberta"
"4291/2020","Elétrico"
"4296/2020","Pressurizado"
"4299/2020","Andaime - Pré-Montagem/Desmontagem"
"4306/2020","Andaime - Pré-Montagem/Desmontagem"
"4308/2020","Chama Aberta"
"4311/2020","Pressurizado"
"4328/2020","Altura - Acesso por Cordas"
"4340/2020","Elétrico"
"4361/2020","Elétrico"
"4362/2020","Pressurizado"
"4368/2020","Elétrico"
"4370/2020","Pressurizado"
"4429/2020","Andaime - Pré-Montagem/Desmontagem"
"4462/2020","Tratamento manual e pintura"
"4475/2020","Andaime - Pós-Montagem/Utilização"
"4476/2020","Elétrico"
"4494/2020","Altura - Acesso por Cordas"
"4503/2020","Andaime - Pós-Montagem/Utilização"
"4504/2020","Chama Aberta"
"4511/2020","Pressurizado"
"4522/2020","Inibição em funções de Controle e Segurança"
"4531/2020","Risco de Perda de Produção"
"4531/2020","Intervenção Automação - PLC"
"4551/2020","Chama Aberta"
"4569/2020","Risco de Perda de Produção"
"4570/2020","Pressurizado"
"4583/2020","Tratamento Mecânico e Pintura"
"4598/2020","Intervenção Automação - PLC"
"4613/2020","Tratamento Mecânico e Pintura"
"4621/2020","Pressurizado"
"4622/2020","Tratamento manual e pintura"
"4634/2020","Intervenção Automação - PLC"
"4650/2020","Sobre o Mar"
"4678/2020","Tratamento Mecânico e Pintura"
"4696/2020","Pressurizado"
"4704/2020","Andaime - Pós-Montagem/Utilização"
"4724/2020","Andaime - Pré-Montagem/Desmontagem"
"4732/2020","Andaime - Pós-Montagem/Utilização"
"4737/2020","Altura - Acesso por Cordas"
"4739/2020","Inibição em funções de Controle e Segurança"
"4750/2020","Gás Inflamável"
"4751/2020","Pressurizado"
"4753/2020","Pressurizado"
"4758/2020","Chama Aberta"
"4770/2020","Andaime - Pós-Montagem/Utilização"
"4773/2020","Altura - Acesso por Cordas"
"4782/2020","Inibição em funções de Controle e Segurança"
"4789/2020","Andaime - Pré-Montagem/Desmontagem"
"4790/2020","Pressurizado"
"4797/2020","Altura - Acesso por Cordas"
"4799/2020","Pressurizado"
"4805/2020","Andaime - Pré-Montagem/Desmontagem"
"4821/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"4825/2020","Andaime - Pré-Montagem/Desmontagem"
"4832/2020","Altura - Acesso por Cordas"
"4834/2020","Pressurizado"
"4838/2020","Pressurizado"
"4840/2020","Tratamento Mecânico e Pintura"
"4840/2020","Esmerilhadeira e Lixadeira"
"4846/2020","Pressurizado"
"4846/2020","Andaime - Pós-Montagem/Utilização"
"4846/2020","Parafusadeira e Torqueadeira"
"4851/2020","Elétrico"
"4862/2020","Altura - Acesso por Cordas"
"4869/2020","Elétrico"
"4870/2020","Utilização de PAE e PTA"
"4877/2020","Pressurizado"
"4878/2020","Intervenção Automação - PLC"
"4894/2020","Pressurizado"
"4898/2020","Altura - Acesso por Cordas"
"4906/2020","Pressurizado"
"4907/2020","Pressurizado"
"4908/2020","Elétrico"
"4910/2020","Andaime - Pré-Montagem/Desmontagem"
"4911/2020","Tratamento Mecânico e Pintura"
"4914/2020","Serviço Crítico"
"4921/2020","Andaime - Pré-Montagem/Desmontagem"
"4922/2020","Intervenção Automação - PLC"
"4926/2020","Inibição em funções de Controle e Segurança"
"4929/2020","Elétrico"
"4931/2020","Elétrico"
"4951/2020","Pressurizado"
"4952/2020","Elétrico"
"4953/2020","Serviço Crítico"
"4953/2020","Risco de Perda de Produção"
"4956/2020","Pressurizado"
"4963/2020","Elétrico"
"4970/2020","Andaime - Pós-Montagem/Utilização"
"4972/2020","Tratamento Mecânico e Pintura"
"4976/2020","Andaime - Pós-Montagem/Utilização"
"4980/2020","Andaime - Pós-Montagem/Utilização"
"4984/2020","Espaço Confinado"
"4985/2020","Elétrico"
"4995/2020","Altura - Acesso por Cordas"
"4997/2020","Hidrojateamento"
"5006/2020","Altura - Acesso por Cordas"
"5015/2020","Andaime - Pré-Montagem/Desmontagem"
"5038/2020","Chama Aberta"
"5045/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"5057/2020","Elétrico"
"5060/2020","Altura - Acesso por Cordas"
"5085/2020","Tratamento Mecânico e Pintura"
"5089/2020","Altura - Acesso por Cordas"
"5098/2020","Elétrico"
"5108/2020","Andaime - Pré-Montagem/Desmontagem"
"5111/2020","Andaime - Pós-Montagem/Utilização"
"5125/2020","Pressurizado"
"5125/2020","Andaime - Pós-Montagem/Utilização"
"5126/2020","Uso de Marreta"
"5136/2020","Risco de Perda de Produção"
"5138/2020","Elétrico"
"5146/2020","Pressurizado"
"5149/2020","Chama Aberta"
"5151/2020","Pressurizado"
"5158/2020","Elétrico"
"5166/2020","Pressurizado"
"5180/2020","Andaime - Pós-Montagem/Utilização"
"5193/2020","Andaime - Pós-Montagem/Utilização"
"5195/2020","Pressurizado"
"5203/2020","Altura - Acesso por Cordas"
"5204/2020","Pressurizado"
"5225/2020","Elétrico"
"5243/2020","Uso de Marreta"
"5246/2020","Uso de Marreta"
"5256/2020","Elétrico"
"5258/2020","Elétrico"
"5266/2020","Risco de Perda de Produção"
"5275/2020","Uso de Marreta"
"5279/2020","Serviço Crítico"
"5292/2020","Intervenção Automação - PLC"
"5297/2020","Andaime - Pré-Montagem/Desmontagem"
"5301/2020","Tratamento Mecânico e Pintura"
"5309/2020","Chama Aberta"
"5332/2020","Pressurizado"
"5332/2020","Parafusadeira e Torqueadeira"
"5333/2020","Altura - Acesso por Cordas"
"5336/2020","Andaime - Pré-Montagem/Desmontagem"
"5344/2020","Chama Aberta"
"5345/2020","Elétrico"
"5357/2020","Andaime - Pré-Montagem/Desmontagem"
"5358/2020","Teste Hidrostático"
"5361/2020","Chama Aberta"
"5366/2020","Sobre o Mar"
"5369/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"5369/2020","Uso de Marreta"
"5391/2020","Pressurizado"
"5396/2020","Andaime - Pós-Montagem/Utilização"
"5400/2020","Altura - Acesso por Cordas"
"5411/2020","Pressurizado"
"5445/2020","Intervenção Automação - PLC"
"5475/2020","Andaime - Pré-Montagem/Desmontagem"
"5483/2020","Pressurizado"
"5484/2020","Andaime - Pré-Montagem/Desmontagem"
"5489/2020","Serviço Crítico"
"5498/2020","Elétrico"
"5505/2020","Pressurizado"
"5509/2020","Sobre o Mar"
"5522/2020","Altura - Acesso por Cordas"
"5530/2020","Tratamento Mecânico e Pintura"
"5551/2020","Andaime - Pré-Montagem/Desmontagem"
"5554/2020","Sobre o Mar"
"5557/2020","Andaime - Pré-Montagem/Desmontagem"
"5559/2020","Andaime - Pós-Montagem/Utilização"
"5569/2020","Serviço Crítico"
"5573/2020","Elétrico"
"5617/2020","Serviço Crítico"
"5628/2020","Tratamento Mecânico e Pintura"
"5638/2020","Elétrico"
"5649/2020","Altura - Acesso por Cordas"
"5653/2020","Elétrico"
"5657/2020","Elétrico"
"5660/2020","Tratamento Mecânico e Pintura"
"5661/2020","Andaime - Pré-Montagem/Desmontagem"
"5663/2020","Inibição em funções de Controle e Segurança"
"5670/2020","Sobre o Mar"
"5673/2020","Andaime - Pré-Montagem/Desmontagem"
"5677/2020","Pressurizado"
"5678/2020","Tratamento manual e pintura"
"5687/2020","Pressurizado"
"5692/2020","Elétrico"
"5695/2020","Elétrico"
"5698/2020","Esmerilhadeira e Lixadeira"
"5700/2020","Pressurizado"
"5705/2020","Andaime - Pós-Montagem/Utilização"
"5716/2020","Altura - Acesso por Cordas"
"5740/2020","Pressurizado"
"5751/2020","Andaime - Pré-Montagem/Desmontagem"
"5759/2020","Chama Aberta"
"5762/2020","Pressurizado"
"5769/2020","Andaime - Pós-Montagem/Utilização"
"5771/2020","Andaime - Pós-Montagem/Utilização"
"5776/2020","Pressurizado"
"5778/2020","Pressurizado"
"5786/2020","Pressurizado"
"5807/2020","Andaime - Pós-Montagem/Utilização"
"5808/2020","Altura - Acesso por Cordas"
"5835/2020","Intervenção Automação - PLC"
"5837/2020","Tratamento manual e pintura"
"5847/2020","Pressurizado"
"5851/2020","Altura - Acesso por Cordas"
"5854/2020","Andaime - Pós-Montagem/Utilização"
"5866/2020","Pressurizado"
"5872/2020","Elétrico"
"5878/2020","Chama Aberta"
"5882/2020","Altura - Acesso por Cordas"
"5895/2020","Intervenção Automação - PLC"
"5900/2020","Pressurizado"
"5902/2020","Pressurizado"
"5904/2020","Chama Aberta"
"5927/2020","Tratamento manual e pintura"
"5940/2020","Andaime - Pré-Montagem/Desmontagem"
"5941/2020","Tratamento Mecânico e Pintura"
"5947/2020","Inibição em funções de Controle e Segurança"
"5967/2020","Andaime - Pré-Montagem/Desmontagem"
"5970/2020","Inibição em funções de Controle e Segurança"
"5973/2020","Altura - Acesso por Cordas"
"5977/2020","Tratamento manual e pintura"
"5979/2020","Andaime - Pré-Montagem/Desmontagem"
"5981/2020","Elétrico"
"5990/2020","Pressurizado"
"5997/2020","Altura - Acesso por Cordas"
"6001/2020","Pressurizado"
"6005/2020","Elétrico"
"6011/2020","Andaime - Pré-Montagem/Desmontagem"
"6013/2020","Andaime - Pós-Montagem/Utilização"
"6015/2020","Pressurizado"
"6017/2020","Hidrojateamento"
"6020/2020","Andaime - Pós-Montagem/Utilização"
"6020/2020","Uso de Marreta"
"6039/2020","Altura - Acesso por Cordas"
"6040/2020","Altura - Acesso por Cordas"
"6064/2020","Tratamento manual e pintura"
"6072/2020","Andaime - Pré-Montagem/Desmontagem"
"6075/2020","Chama Aberta"
"6078/2020","Inibição em funções de Controle e Segurança"
"6090/2020","Chama Aberta"
"6101/2020","Andaime - Pós-Montagem/Utilização"
"6104/2020","Pressurizado"
"6106/2020","Pressurizado"
"6111/2020","Elétrico"
"6117/2020","Andaime - Pós-Montagem/Utilização"
"6130/2020","Risco de Perda de Produção"
"6153/2020","Pressurizado"
"6172/2020","Andaime - Pré-Montagem/Desmontagem"
"6174/2020","Pressurizado"
"6180/2020","Pressurizado"
"6186/2020","Elétrico"
"6187/2020","Pressurizado"
"6191/2020","Risco de Perda de Produção"
"6220/2020","Elétrico"
"6242/2020","Risco de Perda de Produção"
"6257/2020","Gás Inflamável"
"6258/2020","Pressurizado"
"6276/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"6285/2020","Chama Aberta"
"6313/2020","Pressurizado"
"6320/2020","Pressurizado"
"6323/2020","Uso de Marreta"
"6337/2020","Pressurizado"
"6338/2020","Uso de Marreta"
"6341/2020","Pressurizado"
"6343/2020","Andaime - Pós-Montagem/Utilização"
"6346/2020","Intervenção Automação - PLC"
"6356/2020","Elétrico"
"6361/2020","Risco de Perda de Produção"
"6366/2020","Tratamento Mecânico e Pintura"
"6376/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"6386/2020","Risco de Perda de Produção"
"6392/2020","Chama Aberta"
"6395/2020","Serviço Crítico"
"6395/2020","Parafusadeira e Torqueadeira"
"6401/2020","Pressurizado"
"6404/2020","Intervenção Automação - PLC"
"6405/2020","Pressurizado"
"6411/2020","Andaime - Pré-Montagem/Desmontagem"
"6420/2020","Elétrico"
"6438/2020","Pressurizado"
"6447/2020","Elétrico"
"6449/2020","Pressurizado"
"6459/2020","Risco de Perda de Produção"
"6462/2020","Pressurizado"
"6463/2020","Chama Aberta"
"6464/2020","Inibição em funções de Controle e Segurança"
"6484/2020","Pressurizado"
"6492/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"6508/2020","Pressurizado"
"6519/2020","Pressurizado"
"6519/2020","Risco de Perda de Produção"
"6520/2020","Elétrico"
"6521/2020","Altura - Acesso por Cordas"
"6524/2020","Chama Aberta"
"6533/2020","Espaço Confinado"
"6553/2020","Pressurizado"
"6573/2020","Chama Aberta"
"6589/2020","Altura - Acesso por Cordas"
"6595/2020","Parafusadeira e Torqueadeira"
"6597/2020","Chama Aberta"
"6634/2020","Andaime - Pós-Montagem/Utilização"
"6640/2020","Andaime - Pós-Montagem/Utilização"
"6646/2020","Chama Aberta"
"6646/2020","Esmerilhadeira e Lixadeira"
"6649/2020","Intervenção Automação - PLC"
"6653/2020","Altura - Acesso por Cordas"
"6674/2020","Pressurizado"
"6675/2020","Pressurizado"
"6675/2020","Andaime - Pós-Montagem/Utilização"
"6681/2020","Chama Aberta"
"6725/2020","Esmerilhadeira e Lixadeira"
"6726/2020","Pressurizado"
"6728/2020","Pressurizado"
"6730/2020","Altura - Acesso por Cordas"
"6733/2020","Andaime - Pré-Montagem/Desmontagem"
"6743/2020","Uso de Marreta"
"6743/2020","Raquetes e Flanges Cegos"
"6755/2020","Pressurizado"
"6757/2020","Andaime - Pré-Montagem/Desmontagem"
"6766/2020","Andaime - Pré-Montagem/Desmontagem"
"6774/2020","Elétrico"
"6789/2020","Espaço Confinado"
"6790/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"6790/2020","Esmerilhadeira e Lixadeira"
"6838/2020","Inibição em funções de Controle e Segurança"
"6847/2020","Uso de Marreta"
"6866/2020","Altura - Acesso por Cordas"
"6868/2020","Pressurizado"
"6869/2020","Raquetes e Flanges Cegos"
"6879/2020","Andaime - Pós-Montagem/Utilização"
"6881/2020","Risco de Perda de Produção"
"6904/2020","Inibição em funções de Controle e Segurança"
"6911/2020","Andaime - Pré-Montagem/Desmontagem"
"6925/2020","Tratamento manual e pintura"
"6936/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"6936/2020","Esmerilhadeira e Lixadeira"
"6944/2020","Risco de Perda de Produção"
"6959/2020","Elétrico"
"6964/2020","Intervenção Automação - PLC"
"6964/2020","Inibição em funções de Controle e Segurança"
"6966/2020","Inibição em funções de Controle e Segurança"
"6979/2020","Elétrico"
"6988/2020","Andaime - Pós-Montagem/Utilização"
"7026/2020","Serviço Crítico"
"7036/2020","Risco de Perda de Produção"
"7038/2020","Uso de Marreta"
"7082/2020","Pressurizado"
"7085/2020","Chama Aberta"
"7086/2020","Serviço Crítico"
"7087/2020","Pressurizado"
"7125/2020","Esmerilhadeira e Lixadeira"
"7136/2020","Elétrico"
"7139/2020","Andaime - Pré-Montagem/Desmontagem"
"7147/2020","Altura - Acesso por Cordas"
"7148/2020","Sobre o Mar"
"7150/2020","Chama Aberta"
"7150/2020","Esmerilhadeira e Lixadeira"
"7164/2020","Elétrico"
"7166/2020","Altura - Acesso por Cordas"
"7173/2020","Pressurizado"
"7174/2020","Pressurizado"
"7174/2020","Andaime - Pós-Montagem/Utilização"
"7178/2020","Espaço Confinado"
"7189/2020","Elétrico"
"7195/2020","Serviço Crítico"
"7237/2020","Parafusadeira e Torqueadeira"
"7245/2020","Elétrico"
"7251/2020","Chama Aberta"
"7251/2020","Risco de Perda de Produção"
"7256/2020","Tratamento Mecânico e Pintura"
"7272/2020","Espaço Confinado"
"7273/2020","Inibição em funções de Controle e Segurança"
"7276/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"7276/2020","Esmerilhadeira e Lixadeira"
"7285/2020","Pressurizado"
"7286/2020","Risco de Perda de Produção"
"7298/2020","Pressurizado"
"7306/2020","Substituição de PSV"
"7337/2020","Elétrico"
"7341/2020","Pressurizado"
"7371/2020","Hidrojateamento"
"7383/2020","Pressurizado"
"7394/2020","Risco de Perda de Produção"
"7396/2020","Chama Aberta"
"7401/2020","Pressurizado"
"7405/2020","Elétrico"
"7406/2020","Pressurizado"
"7414/2020","Uso de Marreta"
"7415/2020","Tratamento Mecânico e Pintura"
"7422/2020","Pressurizado"
"7440/2020","Pressurizado"
"7457/2020","Uso de Marreta"
"7461/2020","Pressurizado"
"7469/2020","Altura - Acesso por Cordas"
"7504/2020","Altura - Acesso por Cordas"
"7532/2020","Pressurizado"
"7533/2020","Andaime - Pré-Montagem/Desmontagem"
"7535/2020","Pressurizado"
"7557/2020","Pressurizado"
"7562/2020","Movimentação de Carga"
"7570/2020","Pressurizado"
"7573/2020","Andaime - Pré-Montagem/Desmontagem"
"7574/2020","Pressurizado"
"7603/2020","Espaço Confinado"
"7603/2020","Risco de Perda de Produção"
"7610/2020","Elétrico"
"7624/2020","Andaime - Pré-Montagem/Desmontagem"
"7625/2020","Andaime - Pós-Montagem/Utilização"
"7637/2020","Elétrico"
"7653/2020","Uso de Marreta"
"7676/2020","Altura - Acesso por Cordas"
"7681/2020","Andaime - Pós-Montagem/Utilização"
"7688/2020","Tratamento Mecânico e Pintura"
"7691/2020","Andaime - Pré-Montagem/Desmontagem"
"7695/2020","Tratamento Mecânico e Pintura"
"7711/2020","Esmerilhadeira e Lixadeira"
"7735/2020","Pressurizado"
"7743/2020","Altura - Acesso por Cordas"
"7755/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"7766/2020","Intervenção Automação - PLC"
"7793/2020","Chama Aberta"
"7802/2020","Andaime - Pós-Montagem/Utilização"
"7832/2020","Andaime - Pré-Montagem/Desmontagem"
"7833/2020","Espaço Confinado"
"7846/2020","Chama Aberta"
"7868/2020","Andaime - Pré-Montagem/Desmontagem"
"7879/2020","Elétrico"
"7886/2020","Pressurizado"
"7895/2020","Andaime - Pré-Montagem/Desmontagem"
"7896/2020","Risco de Perda de Produção"
"7905/2020","Tratamento Mecânico e Pintura"
"7907/2020","Pressurizado"
"7916/2020","Espaço Confinado"
"7919/2020","Andaime - Pré-Montagem/Desmontagem"
"7923/2020","Altura - Acesso por Cordas"
"7924/2020","Andaime - Pré-Montagem/Desmontagem"
"7930/2020","Pressurizado"
"7933/2020","Andaime - Pré-Montagem/Desmontagem"
"7948/2020","Pressurizado"
"7949/2020","Andaime - Pré-Montagem/Desmontagem"
"7950/2020","Elétrico"
"7959/2020","Risco de Perda de Produção"
"7969/2020","Risco de Perda de Produção"
"7978/2020","Andaime - Pós-Montagem/Utilização"
"7981/2020","Andaime - Pré-Montagem/Desmontagem"
"7988/2020","Esmerilhadeira e Lixadeira"
"7990/2020","Pressurizado"
"7996/2020","Chama Aberta"
"8000/2020","Pressurizado"
"8006/2020","Altura - Acesso por Cordas"
"8010/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"8018/2020","Altura - Acesso por Cordas"
"8020/2020","Pressurizado"
"8023/2020","Pressurizado"
"8028/2020","Chama Aberta"
"8031/2020","Tratamento Mecânico e Pintura"
"8048/2020","Andaime - Pré-Montagem/Desmontagem"
"8052/2020","Pressurizado"
"8056/2020","Pressurizado"
"8060/2020","Altura - Acesso por Cordas"
"8074/2020","Andaime - Pré-Montagem/Desmontagem"
"8075/2020","Andaime - Pré-Montagem/Desmontagem"
"8077/2020","Hidrojateamento"
"8087/2020","Andaime - Pós-Montagem/Utilização"
"8096/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"8099/2020","Sobre o Mar"
"8099/2020","Andaime - Pré-Montagem/Desmontagem"
"8101/2020","Sobre o Mar"
"8101/2020","Andaime - Pré-Montagem/Desmontagem"
"8103/2020","Chama Aberta"
"8104/2020","Inibição em funções de Controle e Segurança"
"8110/2020","Altura - Acesso por Cordas"
"8111/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"8128/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"8138/2020","Pressurizado"
"8138/2020","Andaime - Pós-Montagem/Utilização"
"8138/2020","Substituição de PSV"
"8140/2020","Raquetes e Flanges Cegos"
"8144/2020","Teste Hidrostático"
"8153/2020","Pressurizado"
"8160/2020","Espaço Confinado"
"8161/2020","Andaime - Pós-Montagem/Utilização"
"8181/2020","Pressurizado"
"8191/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"8200/2020","Elétrico"
"8215/2020","Andaime - Pré-Montagem/Desmontagem"
"8222/2020","Tratamento Mecânico e Pintura"
"8237/2020","Tratamento Mecânico e Pintura"
"8239/2020","Andaime - Pré-Montagem/Desmontagem"
"8246/2020","Chama Aberta"
"8259/2020","Pressurizado"
"8264/2020","Inibição em funções de Controle e Segurança"
"8267/2020","Andaime - Pré-Montagem/Desmontagem"
"8271/2020","Altura - Acesso por Cordas"
"8287/2020","Esmerilhadeira e Lixadeira"
"8292/2020","Chama Aberta"
"8299/2020","Elétrico"
"8301/2020","Andaime - Pré-Montagem/Desmontagem"
"8322/2020","Chama Aberta"
"8327/2020","Tratamento manual e pintura"
"8335/2020","Tratamento Mecânico e Pintura"
"8356/2020","Andaime - Pré-Montagem/Desmontagem"
"8367/2020","Pressurizado"
"8368/2020","Andaime - Pós-Montagem/Utilização"
"8384/2020","Tratamento manual e pintura"
"8394/2020","Chama Aberta"
"8409/2020","Chama Aberta"
"8418/2020","Pressurizado"
"8421/2020","Pressurizado"
"8423/2020","Andaime - Pré-Montagem/Desmontagem"
"8424/2020","Tratamento Mecânico e Pintura"
"8435/2020","Elétrico"
"8436/2020","Elétrico"
"8439/2020","Chama Aberta"
"8442/2020","Chama Aberta"
"8444/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"8453/2020","Inibição em funções de Controle e Segurança"
"8469/2020","Elétrico"
"8478/2020","Tratamento manual e pintura"
"8480/2020","Andaime - Pós-Montagem/Utilização"
"8489/2020","Pressurizado"
"8496/2020","Risco de Perda de Produção"
"8496/2020","Inibição em funções de Controle e Segurança"
"8503/2020","Elétrico"
"8516/2020","Andaime - Pós-Montagem/Utilização"
"8529/2020","Risco de Perda de Produção"
"8538/2020","Risco de Perda de Produção"
"8543/2020","Pressurizado"
"8550/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"8554/2020","Altura - Acesso por Cordas"
"8569/2020","Inibição em funções de Controle e Segurança"
"8586/2020","Altura - Acesso por Cordas"
"8586/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"8587/2020","Chama Aberta"
"8587/2020","Altura - Acesso por Cordas"
"8592/2020","Esmerilhadeira e Lixadeira"
"8625/2020","Chama Aberta"
"8633/2020","Pressurizado"
"8642/2020","Altura - Acesso por Cordas"
"8649/2020","Altura - Acesso por Cordas"
"8652/2020","Chama Aberta"
"8653/2020","Chama Aberta"
"8663/2020","Pressurizado"
"8667/2020","Andaime - Pré-Montagem/Desmontagem"
"8672/2020","Chama Aberta"
"8672/2020","Altura - Acesso por Cordas"
"8672/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"8699/2020","Andaime - Pós-Montagem/Utilização"
"8712/2020","Pressurizado"
"8715/2020","Elétrico"
"8715/2020","Altura - Acesso por Cordas"
"8733/2020","Esmerilhadeira e Lixadeira"
"8736/2020","Chama Aberta"
"8744/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"8753/2020","Tratamento Mecânico e Pintura"
"8762/2020","Pressurizado"
"8763/2020","Altura - Acesso por Cordas"
"8766/2020","Pressurizado"
"8791/2020","Elétrico"
"8804/2020","Andaime - Pós-Montagem/Utilização"
"8806/2020","Andaime - Pós-Montagem/Utilização"
"8810/2020","Tratamento manual e pintura"
"8814/2020","Andaime - Pré-Montagem/Desmontagem"
"8820/2020","Chama Aberta"
"8823/2020","Chama Aberta"
"8833/2020","Esmerilhadeira e Lixadeira"
"8837/2020","Risco de Perda de Produção"
"8851/2020","Pressurizado"
"8856/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"8857/2020","Pressurizado"
"8871/2020","Uso de Marreta"
"8872/2020","Chama Aberta"
"8872/2020","Andaime - Pós-Montagem/Utilização"
"8875/2020","Chama Aberta"
"8875/2020","Altura - Acesso por Cordas"
"8879/2020","Chama Aberta"
"8893/2020","Andaime - Pós-Montagem/Utilização"
"8907/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"8928/2020","Elétrico"
"8930/2020","Substituição de PSV"
"8937/2020","Andaime - Pós-Montagem/Utilização"
"8944/2020","Pressurizado"
"8948/2020","Pressurizado"
"8971/2020","Chama Aberta"
"8976/2020","Andaime - Pós-Montagem/Utilização"
"8979/2020","Pressurizado"
"8980/2020","Andaime - Pós-Montagem/Utilização"
"8984/2020","Altura - Acesso por Cordas"
"8992/2020","Chama Aberta"
"8999/2020","Noturno"
"9023/2020","Elétrico"
"9028/2020","Chama Aberta"
"9028/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"9030/2020","Andaime - Pós-Montagem/Utilização"
"9032/2020","Sobre o Mar"
"9039/2020","Elétrico"
"9040/2020","Pressurizado"
"9053/2020","Andaime - Pós-Montagem/Utilização"
"9054/2020","Pressurizado"
"9062/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"9065/2020","Pressurizado"
"9074/2020","Andaime - Pré-Montagem/Desmontagem"
"9078/2020","Andaime - Pós-Montagem/Utilização"
"9079/2020","Elétrico"
"9081/2020","Tratamento Mecânico e Pintura"
"9092/2020","Teste Hidrostático"
"9094/2020","Chama Aberta"
"9099/2020","Chama Aberta"
