"NUMEROPT","CARACTERISTICA"
"1430/2020","Tratamento Mecânico e Pintura"
"1451/2020","Tratamento Mecânico e Pintura"
"1455/2020","Elétrico"
"1467/2020","Pressurizado"
"1474/2020","Serviço Crítico"
"1490/2020","Risco de Perda de Produção"
"1490/2020","Inibição em funções de Controle e Segurança"
"1493/2020","Pressurizado"
"1499/2020","Altura - Acesso por Cordas"
"1501/2020","Andaime - Pré-Montagem/Desmontagem"
"1503/2020","Espaço Confinado"
"1512/2020","Espaço Confinado"
"1519/2020","Sobre o Mar"
"1525/2020","Hidrojateamento"
"1558/2020","Pressurizado"
"1590/2020","Altura - Acesso por Cordas"
"1609/2020","Serviço Crítico"
"1615/2020","Pressurizado"
"1615/2020","Mov. de Carga - Talhas, Pontes Rol e Paus de Carga"
"1616/2020","Chama Aberta"
"1622/2020","Pressurizado"
"1626/2020","Tratamento Mecânico e Pintura"
"1629/2020","Andaime - Pré-Montagem/Desmontagem"
"1630/2020","Sobre o Mar"
"1648/2020","Pressurizado"
"1652/2020","Elétrico"
"1661/2020","Andaime - Pós-Montagem/Utilização"
"1673/2020","Altura - Acesso por Cordas"
"1674/2020","Pressurizado"
"1687/2020","Sobre o Mar"
"1701/2020","Altura - Acesso por Cordas"
"1747/2020","Altura - Acesso por Cordas"
"1750/2020","Pressurizado"
"1812/2020","Pressurizado"
"1816/2020","Chama Aberta"
"1820/2020","Pressurizado"
"1832/2020","Pressurizado"
"1833/2020","Andaime - Pré-Montagem/Desmontagem"
"1846/2020","Pressurizado"
"1874/2020","Pressurizado"
"1889/2020","Andaime - Pré-Montagem/Desmontagem"
"1918/2020","Andaime - Pré-Montagem/Desmontagem"
"1926/2020","Elétrico"
"1929/2020","Noturno"
"1941/2020","Pressurizado"
"1969/2020","Elétrico"
"1972/2020","Elétrico"
"1989/2020","Andaime - Pré-Montagem/Desmontagem"
"1994/2020","Pressurizado"
"2001/2020","Altura - Acesso por Cordas"
"2003/2020","Elétrico"
"2008/2020","Andaime - Pós-Montagem/Utilização"
"2017/2020","Andaime - Pós-Montagem/Utilização"
"2022/2020","Tratamento manual e pintura"
"2031/2020","Elétrico"
"2034/2020","Tratamento Mecânico e Pintura"
"2036/2020","Chama Aberta"
"2043/2020","Tratamento Mecânico e Pintura"
"2046/2020","Pressurizado"
"2063/2020","Altura - Acesso por Cordas"
"2067/2020","Altura - Acesso por Cordas"
"2075/2020","Altura - Acesso por Cordas"
"2079/2020","Espaço Confinado"
"2087/2020","Pressurizado"
"2096/2020","Hidrojateamento"
"2099/2020","Elétrico"
"2101/2020","Elétrico"
"2108/2020","Elétrico"
"2117/2020","Tratamento manual e pintura"
"2121/2020","Andaime - Pré-Montagem/Desmontagem"
"2140/2020","Elétrico"
"2141/2020","Elétrico"
